_id,title,main_title,year,format,barcode,category,cast,image_url,cover_source,notes
5ee108a87f2fa81788c3ea88,Cat's Eye/silver Bul,Cat's Eye/silver Bullet,,,EAN 5055201804747,HORROR,,https://i.ebayimg.com/images/i/373071011131-0-1/s-l1600.jpg,,
5edfc8077f2faa10180688fa,Che Parts One And Two,Che Parts One And Two,,BLURAY,5.0552E+12,DRAMA,[],https://s4.thcdn.com/productimg/0/960/960/11/10032811-1403606577-302006.jpg,upcitemdb,
5ee10e8f7f2fa81788c3eb11,Chonicles Of Narnia,Chonicles Of Narnia,,,EAN 8717418086527,ADVENTURE / FANTASY,,https://i.ebayimg.com/images/i/114249701659-0-1/s-l1600.jpg,,
5edfce427f2fab1018313879,Chris Rock Never Scared,Chris Rock Never Scared,,,7.3219E+12,COMEDY,[],https://stiletto.ddns.net/MagnoliumApiCore/api/discs/covers/7321900253642.png?v=1789494844,manual,
5edfce3b7f2fab1018313878,Chris Rock: Bigger & Blacker,Chris Rock: Bigger & Blacker,,,UPC 026359168826,COMEDY,,https://i5.walmartimages.com/asr/d529a5b6-928d-4bef-8624-d6ac19e57657_1.fa5b964614ad1b6b439b417c2336d110.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,
5ee1106f7f2fa81788c3eb4b,Clerks,Clerks,,,EAN 8717418048860,COMEDY,,https://i.ebayimg.com/images/i/123689786279-0-1/s-l1600.jpg,,
5ee110957f2fa81788c3eb4f,Clerks 2 ,Clerks 2 ,,,EAN 5014437917836,COMEDY,,https://i.ebayimg.com/images/i/383576989116-0-1/s-l1600.jpg,,
5ee106177f2fa81788c3ea28,Clint Eastwood Collection,Clint Eastwood Collection,,,EAN 5039036034692,WESTERN,,https://i.ebayimg.com/images/i/133426511918-0-1/s-l1600.jpg,,
5ee10db27f2fa81788c3eb06,Close Encounters Of The Third Kind,Close Encounters Of The Third Kind,,BLURAY,EAN 5050629650112,SCI-FI,,http://img.bbystatic.com/BestBuy_US/images/products/nonsku/default_movies_l.jpg,,
5edfcda87f2fab1018313875,Cloud Atlas,Cloud Atlas,,BLURAY,EAN 5051892125888,SCI-FI,,https://i.ebayimg.com/images/i/164234075683-0-1/s-l1600.jpg,,
5ee106857f2fa81788c3ea35,Cloverfield,Cloverfield,,BLURAY,EAN 5051368202532,SCI-FI,,http://img.bbystatic.com/BestBuy_US/images/products/nonsku/default_movies_l.jpg,,
5ee107187f2fa81788c3ea4f,Collateral,Collateral,,,EAN 5014437862037,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/283904582388-0-1/s-l1600.jpg,,
5f1b07e77f2fa81d6803d933,Colossus - The Forbin Project ,Colossus - The Forbin Project ,1970,,EAN 5030697015129,SCI-FI,,https://i.ebayimg.com/images/i/223468783897-0-1/s-l1600.jpg,,
5ee10c317f2fa81788c3eaf6,Con Air,Con Air,,BLURAY,EAN 8717418126773,THRILLER / ADVENTURE,,http://img.bbystatic.com/BestBuy_US/images/products/nonsku/default_movies_l.jpg,,
5ee109167f2fa81788c3ea94,Constantine,Constantine,,,UPC 085393894221,HORROR,,https://i5.walmartimages.com/asr/5378129b-4720-46c3-9c5c-77b46a9e561e_1.f8d51c6ebc50a2c5c07bed22b85ad225.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,
5ee10fc67f2fa81788c3eb32,Contact,Contact,,,UPC 085391504122,SCI-FI,,https://i5.walmartimages.com/asr/2b4739fe-650f-447f-89da-8a18af2a090b_1.f41eb1962fc42b368d36f8c4be9d30fb.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,
6783f5e40aa2e81f18126766,Contagion,Contagion,,,5.05189E+12,THRILLER / ADVENTURE,,image_url,,
5ee1080c7f2fa81788c3ea6b,Contagion ,Contagion ,2012,BLURAY,EAN 5051892074216,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/323398264186-0-1/s-l1600.jpg,,
5ee10ecc7f2fa81788c3eb1f,Cowboys & Aliens,Cowboys & Aliens,2011,BLURAY,EAN 5051368222936,SCI-FI,,https://i.ebayimg.com/images/i/292978787494-0-1/s-l1600.jpg,,
5edfd1b37f2fab10183138d7,Cranford: The Complete Series 2,Cranford: The Complete Series 2,,,EAN 5014503254322,ROMANCE,,https://i.ebayimg.com/images/i/124208855452-0-1/s-l1600.jpg,,
5ee10ead7f2fa81788c3eb13,Crouching Tiger Hidden Dragon,Crouching Tiger Hidden Dragon,,,EAN 5035822105539,ADVENTURE / FANTASY,,https://i.ebayimg.com/images/i/184234549100-0-1/s-l1600.jpg,,
5edfc8d27f2faa101806890c,Dance Flick,Dance Flick,,,EAN 5014437107732,MUSICAL,,https://i.ebayimg.com/images/i/383004061717-0-1/s-l1600.jpg,,
5edfd1107f2fab10183138c0,Danielle Steel's Fine Things ,Danielle Steel's Fine Things ,,,EAN 5018011202127,ROMANCE,,https://i.ebayimg.com/images/i/113928673974-0-1/s-l1600.jpg,,
5edfd10c7f2fab10183138bf,Danielle Steel's Full Circle,Danielle Steel's Full Circle,,,EAN 5030305104498,ROMANCE,,http://i.ebayimg.com/00/s/NTA1WDM1NQ==/z/g6cAAOSwFV9X0yrJ/$_1.JPG?set_id=880000500F,,
5edfd11f7f2fab10183138c3,Danielle Steel's Message From Nam,Danielle Steel's Message From Nam,1993,,EAN 5018011202134,ROMANCE,,https://i.ebayimg.com/images/i/124171496238-0-1/s-l1600.jpg,,
5edfd0957f2fab10183138b5,Danielle Steel's Once In A Lifetime,Danielle Steel's Once In A Lifetime,,,EAN 5018011202141,ROMANCE,,https://i.ebayimg.com/images/i/123689761742-0-1/s-l1600.jpg,,
5ee107807f2fa81788c3ea55,Dante's Peak,Dante's Peak,,BLURAY,EAN 5050582797893,THRILLER / ADVENTURE,,http://img.bbystatic.com/BestBuy_US/images/products/nonsku/default_movies_l.jpg,,
5ee10ada7f2fa81788c3eabc,Daredevil ,Daredevil ,,,EAN 5039036013390,SCI-FI,,https://i.ebayimg.com/images/i/373075357543-0-1/s-l1600.jpg,,
5ee10e6d7f2fa81788c3eb10,Dark City,Dark City,,,EAN 5017239190056,SCI-FI,,https://i.ebayimg.com/images/i/362991860879-0-1/s-l1600.jpg,,
5ee10afc7f2fa81788c3eac4,Dark Knight Rises,Dark Knight Rises,,BLURAY,EAN 5051892077088,SCI-FI,,https://i.ebayimg.com/images/i/114220315117-0-1/s-l1600.jpg,,
5ee1105a7f2fa81788c3eb44,Dark Star,Dark Star,,BLURAY,EAN 5030697020192,SCI-FI,,http://img.bbystatic.com/BestBuy_US/images/products/nonsku/default_movies_l.jpg,,
67845188e4085b038c32ce22,Dark Star,Dark Star,,,5.0307E+12,SCI-FI,,image_url,,
5ee10b737f2fa81788c3eae5,Dawn Of The Planet Of The Apes,Dawn Of The Planet Of The Apes,,BLURAY,EAN 5039036066679,SCI-FI,,https://i.ebayimg.com/images/i/362875883540-0-1/s-l1600.jpg,,
6783f49e0aa2e81f18126758,Dawn Of The Planet Of The Apes,Dawn Of The Planet Of The Apes,,BLURAY,5.03904E+12,SCI-FI,,image_url,,
5ee10b017f2fa81788c3eac6,Deadpool,Deadpool,,BLURAY,EAN 5039036076906,SCI-FI,,https://i.ebayimg.com/images/i/133432977714-0-1/s-l1600.jpg,,
6783f21a0aa2e81f18126745,Deadpool,Deadpool,,,5.03904E+12,SCI-FI,,image_url,,
5ee10b047f2fa81788c3eac7,Deadpool 2,Deadpool 2,,BLURAY,EAN 5039036086370,SCI-FI,,https://i.ebayimg.com/images/i/373070958144-0-1/s-l1600.jpg,,
5ee1066f7f2fa81788c3ea2f,Death Wish,Death Wish,,BLURAY,EAN 5053083165130,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/133430327309-0-1/s-l1600.jpg,,
5ee108067f2fa81788c3ea69,Deep Impact ,Deep Impact ,1998,BLURAY,EAN 5051368212012,SCI-FI,,https://i.ebayimg.com/images/i/283858180033-0-1/s-l1600.jpg,,
5edfd12a7f2fab10183138c6,Definitely Maybe,Definitely Maybe,,,EAN 5050582550870,SCI-FI,,https://i.ebayimg.com/images/i/373067998280-0-1/s-l1600.jpg,,
5ee1097f7f2fa81788c3ea9e,Demon Seed ,Demon Seed ,,,EAN 7321900501293,SCI-FI,,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/1o8AAOSwdRparUFu/$_57.JPG?set_id=8800005007,,
5edfc8177f2faa10180688fd,Devil,Devil,,,5.05058E+12,HORROR,[],https://stiletto.ddns.net/MagnoliumApiCore/api/discs/covers/5050582813258.png?v=1789497532,manual,
5edfc92c7f2faa101806890e,Dexter - Seasons 1-5,Dexter - Seasons 1-5,,,EAN 5014437149534,HORROR,,https://i.ebayimg.com/images/i/383204402581-0-1/s-l1600.jpg,,
6783d3dc7eb1792d8471a211,Dexter Season 6,Dexter Season 6,,,5.01444E+12,HORROR,,https://images.ean-db.com/501/443/716/5014437165336/7aa0dd41e48fcc3ed9cc36a5f7241ada64b4a9d724fcd84f717767054ba60401.jpg,,
5ee1049c7f2fa81788c3e9fc,Diamonds Are Forever,Diamonds Are Forever,,,EAN 5050070002256,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/363007682326-0-1/s-l1600.jpg,,
5ee1048c7f2fa81788c3e9f5,Die Another Day ,Die Another Day ,2002,,EAN 5050070009804,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/362522371403-0-1/s-l1600.jpg,,
5edfd0687f2fab10183138b1,Dirty Dancing,Dirty Dancing,,,EAN 5035822100251,DRAMA,,https://i.ebayimg.com/images/i/153955559480-0-1/s-l1600.jpg,,
6783f63c0aa2e81f1812676b,Divergent,Divergent,,,5.03031E+12,SCI-FI,,image_url,,
5ee107937f2fa81788c3ea5b,Django Unchained,Django Unchained,2013,BLURAY,EAN 5051124175599,WESTERN,,https://i.ebayimg.com/images/i/362716573200-0-1/s-l1600.jpg,,
5edfcbad7f2fab1018313843,Doctor Who - The Complete Series 2,Doctor Who - The Complete Series 2,,,EAN 5014503212223,SCI-FI,,https://i.ebayimg.com/images/i/333246880881-0-1/s-l1600.jpg,,
5edfd0917f2fab10183138b4,Doctor Zhivago,Doctor Zhivago,,,EAN 7321900655712,SCI-FI,,https://i.ebayimg.com/images/i/383571036458-0-1/s-l1600.jpg,,
5edfcf3c7f2fab101831389e,Dogma,Dogma,,,EAN 6867449005690,COMEDY,,https://i.ebayimg.com/00/s/NTA1WDM1NA==/z/IRgAAOSwP8lauwdy/$_12.PNG?set_id=880000500F,,
5ee10f3b7f2fa81788c3eb22,Donnie Darko,Donnie Darko,,,UPC 024543036401,THRILLER / ADVENTURE,,https://i5.walmartimages.com/asr/274efc0a-e510-45ee-932b-96a574e1b475_1.e472a8735138824c2b1714d73da28cfe.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,
5edfc85f7f2faa1018068906,Don't Be A Menace To,Don't Be A Menace To,,,EAN 5060223761800,COMEDY,,https://i.ebayimg.com/images/i/383576989578-0-1/s-l1600.jpg,,
5ee1048f7f2fa81788c3e9f6,Dr. No ,Dr. No ,1962,,EAN 5050070002294,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/293453269083-0-1/s-l1600.jpg,,
5edfcb887f2fab1018313840,Dream On: Seasons 1 & 2,Dream On: Seasons 1 & 2,,,UPC 025192605826,COMEDY,,http://img.bbystatic.com/BestBuy_US/images/products/6767/6767983.jpg,,
5edfd1f97f2fab10183138e4,Duchess ,Duchess ,,,EAN 5060002836330,ROMANCE,,https://i.ebayimg.com/images/i/324189082428-0-1/s-l1600.jpg,,
5ee108267f2fa81788c3ea74,Dune,Dune,,,EAN 5038456250002,SCI-FI,,https://i.ebayimg.com/images/i/114203948608-0-1/s-l1600.jpg,,
5ee106727f2fa81788c3ea30,Dunkirk,Dunkirk,,BLURAY,EAN 5051892205504,DRAMA,,https://i.ebayimg.com/images/i/373070958232-0-1/s-l1600.jpg,,
5edfce687f2fab101831387d,Dylan Moran - The Live Collection,Dylan Moran - The Live Collection,2007,,EAN 5050582506136,COMEDY,,https://i.ebayimg.com/images/i/133147782865-0-1/s-l1600.jpg,,
5edfc7927f2faa10180688ee,Eat Pray Love,Eat Pray Love,,BLURAY,EAN 5050629922837,ROMANCE,,https://i.ebayimg.com/images/i/372992669517-0-1/s-l1600.jpg,,
5edfce557f2fab101831387b,Eddie Izzard: Glorious,Eddie Izzard: Glorious,,,5.05058E+12,COMEDY,[],https://stiletto.ddns.net/MagnoliumApiCore/api/discs/covers/5050582249071.png?v=1789494961,manual,
5ee108f97f2fa81788c3ea8e,Edge Of Tomorrow,Edge Of Tomorrow,,BLURAY,EAN 5051892163484,SCI-FI,,https://i.ebayimg.com/images/i/373075479674-0-1/s-l1600.jpg,,
5ee10adc7f2fa81788c3eabd,Elektra,Elektra,,,EAN 5039036021050,SCI-FI,,https://i.ebayimg.com/images/i/133428828503-0-1/s-l1600.jpg,,
5ee1081b7f2fa81788c3ea71,Elysium,Elysium,,BLURAY,EAN 5051124329695,SCI-FI,,http://img.bbystatic.com/BestBuy_US/images/products/nonsku/default_movies_l.jpg,,
6783f5a80aa2e81f18126761,Elysium,Elysium,,BLURAY,5.05112E+12,SCI-FI,,image_url,,
6783ed050aa2e81f18126732,Eternals,Eternals,,BLURAY,8.71742E+12,SCI-FI,,image_url,,
5edfcfed7f2fab10183138ac,Evita,Evita,,BLURAY,UPC 786936823530,MUSICAL,,https://i5.walmartimages.com/asr/a1709158-929e-43c7-a18d-e60edba2f3f9_1.c715faec716a537f600d93164856b966.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,
5ee106fc7f2fa81788c3ea48,Face/off,Face/off,,,UPC 097361549576,THRILLER / ADVENTURE,,https://i5.walmartimages.com/asr/93b6d5d5-6dd9-4b6b-b910-65f944aa0209_1.e88775fdd066d0c136b3ff5198a6ece7.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,
5edfcbd17f2fab1018313846,Family At War: Complete Set ,Family At War: Complete Set ,1970,,EAN 5036193090745,DRAMA,,https://i.ebayimg.com/images/i/132888285816-0-1/s-l1600.jpg,,
5edfc8817f2faa101806890b,Family Guy,Family Guy,,,EAN 5039036042178,ANIMATION / COMEDY,,https://i.ebayimg.com/images/i/373070958172-0-1/s-l1600.jpg,,
